record_id,paper_id,tea_type,material_form,component_group,compound_name,activity_category,endpoint_label,study_type,evidence_level,model_system,dose_exposure,effect_direction,processing_step,extraction_method,cultivar,origin,mechanism_label,microbiota_taxon,microbial_metabolite,host_phenotype,claim_text_raw,confidence_score,annotator_id,adjudication_status,notes,title,abstract,journal,year,source_is_auto_only,silver_tea_type,silver_material_form,silver_component_group,silver_processing_step,silver_extraction_method,component_evidence_terms,processing_evidence_terms,extraction_evidence_terms,schema_validation_flags,uncertainty_flags,record_specificity_score,mechanism_specificity_score,context_completeness_score,silver_confidence_score,uncertainty_class,raw_silver_processing_step,raw_silver_extraction_method
PMID_39522375_GLM1,PMID_39522375,dark tea,tea extract,whole extract,,gut microbiota modulation,gut microbiota composition,animal study,preclinical_in_vivo,mouse model,,unclear,,,,,"boosted beneficial bacteria, suppressed harmful bacteria","Bacteroides, Akkermansia, Psychrobacter, Dubosiella, Faecalibaculum",,,"LTE reshaped gut microbiota by boosting beneficial bacteria (e.g., Bacteroides, Akkermansia, Psychrobacter) and suppressing harmful bacteria (e.g., Dubosiella, Faecalibaculum).",0.95,glm5_nvidia,llm_title_abstract_annotated,llm_postprocessed=true,Liubao tea extract restrains obesity-related hyperlipidemia via regulation of AMPK/p38/NF-κB pathway and intestinal microbiota.,"Liubao tea, a traditional dark tea, has gained widespread recognition for various health benefits. In this study, the effects of Liubao tea extract (LTE) on obesity-related hyperlipidemia and the potential mechanism involved were explored. Anti-obesity compounds such as tricetin, isovitexin, tiliroside, etc. in LTE were identified. In high-fat diet mouse models, LTE effectively reduced tissues, organs, and body weight growth, and restored abnormal serum lipid levels. LTE could reverse adipocyte enlargement, lipid accumulation, and hepatic microstructure abnormalities. Notably, LTE reshaped gut microbiota by boosting beneficial bacteria (e.g., Bacteroides, Akkermansia, Psychrobacter) and suppressing harmful bacteria (e.g., Dubosiella, Faecalibaculum). Spearman correlation analysis unveiled significant associations between serum lipid levels, weight gain, LTE dosage, and gut microbiota, underlining the modulatory effects of LTE on metabolic disorders via the regulation of intestinal microbiota. Collectively, LTE could serve as a potential therapy for obesity-related hyperlipidemia prevention.",Food chemistry,2025,true,dark tea,tea extract,whole extract,,other extraction,tea extract; extract,,extract,,preclinical_only; uncertain_effect_direction,0.750,0.750,0.750,0.860,low_uncertainty,,other extraction
PMID_39522375_GLM2,PMID_39522375,dark tea,tea extract,whole extract,,anti-obesity,obesity-related phenotype,animal study,preclinical_in_vivo,mouse model,,negative,,,,,AMPK/p38/NF-κB pathway regulation,,,obesity-related hyperlipidemia,"In high-fat diet mouse models, LTE effectively reduced tissues, organs, and body weight growth, and restored abnormal serum lipid levels.",0.90,glm5_nvidia,llm_title_abstract_annotated,llm_postprocessed=true,Liubao tea extract restrains obesity-related hyperlipidemia via regulation of AMPK/p38/NF-κB pathway and intestinal microbiota.,"Liubao tea, a traditional dark tea, has gained widespread recognition for various health benefits. In this study, the effects of Liubao tea extract (LTE) on obesity-related hyperlipidemia and the potential mechanism involved were explored. Anti-obesity compounds such as tricetin, isovitexin, tiliroside, etc. in LTE were identified. In high-fat diet mouse models, LTE effectively reduced tissues, organs, and body weight growth, and restored abnormal serum lipid levels. LTE could reverse adipocyte enlargement, lipid accumulation, and hepatic microstructure abnormalities. Notably, LTE reshaped gut microbiota by boosting beneficial bacteria (e.g., Bacteroides, Akkermansia, Psychrobacter) and suppressing harmful bacteria (e.g., Dubosiella, Faecalibaculum). Spearman correlation analysis unveiled significant associations between serum lipid levels, weight gain, LTE dosage, and gut microbiota, underlining the modulatory effects of LTE on metabolic disorders via the regulation of intestinal microbiota. Collectively, LTE could serve as a potential therapy for obesity-related hyperlipidemia prevention.",Food chemistry,2025,true,dark tea,tea extract,whole extract,,other extraction,tea extract; extract,,extract,,preclinical_only,0.775,0.850,0.750,0.839,low_uncertainty,,other extraction
PMID_39340256_GLM1,PMID_39340256,unspecified tea,tea infusion,multiple component groups,,metabolic improvement,metabolic syndrome construct (MetsC),cohort study,human_observational,human adolescent cohort,,negative,,,,,tea-related beneficial effect,,,metabolic syndrome,"After accounting for the UA- and HOMA-IR-derived detrimental effects, the fructose-rich tea beverage intake of >500 mL/day had a tea-related beneficial effect on MetsC, with an adjusted standardized coefficient of -0.103.",0.85,glm5_nvidia,llm_title_abstract_annotated,Beneficial effect observed after adjusting for fructose-associated adverse effects.; Abstract identifies fructose-rich tea intake pathway via uric acid.; Abstract identifies fructose-rich tea intake pathway via HOMA-IR.; llm_postprocessed=true; targeted_processing_llm_patch=llm_extracted; patch_confidence=0.85,"Fructose intake, endogenous biomarkers and latent metabolic construct in adolescents: Exploring path associations and mediating effects.","BACKGROUND: Uric acid (UA) and homeostatic model assessment of insulin resistance (HOMA-IR) are endogenous biomarkers implicated in metabolic disorders and dysfunction. OBJECTIVES: To investigate the structural associations between sugar-sweetened beverage intake (SSB), UA, HOMA-IR and adolescent latent MetS construct (MetsC) representing paediatric metabolic syndrome (MetS). METHODS: A population-based representative adolescent cohort (n = 1454) was evaluated for risk profiles of MetS. Structural equation modelling was performed to identify multifactor structural associations between study parameters and evaluate mediating effects. RESULTS: Adolescents had a single-factor latent construct representing MetS. Increased SSB intake was associated with higher UA and HOMA-IR levels, and the two biomarkers were positively associated with the MetsC score. UA and HOMA-IR exerted three mediating effects on the association between fructose-rich tea beverage (FTB) intake of >500 mL/day and MetsC: adjusted standardized coefficient and mediating effect (%), FTB → UA → MetsC: 0.071, 23.1%; FTB → HOMA-IR → MetsC: 0.034, 11.0%; FTB → UA → HOMA-IR → MetsC: 0.010, 3.1%. The UA-associated pathways accounted for 31.1% of the overall mediation on the association between bottled sugar-containing beverage intake and MetsC. After accounting for the UA- and HOMA-IR-derived detrimental effects, the fructose-rich tea beverage intake of >500 mL/day had a tea-related beneficial effect on MetsC, with an adjusted standardized coefficient of -0.103. CONCLUSIONS: UA and HOMA-IR individually and jointly mediate the adverse effects of high fructose-rich SSB intake on the mechanisms underlying paediatric MetS. Fructose-free tea-based beverages may have a beneficial effect on latent MetS structure in adolescents.",Pediatric obesity,2025,true,unspecified tea,fermented beverage,multiple component groups,,,fructose-rich tea beverage;tea-based beverages,fructose-rich tea beverage;tea-based beverages,fructose-rich tea beverage;tea-based beverages,,missing_processing_or_extraction_context,0.338,0.550,0.300,0.612,moderate_uncertainty,,
PMID_39287934_GLM1,PMID_39287934,unspecified tea,tea infusion,caffeine,caffeine,metabolic improvement,risk of new-onset cardiometabolic multimorbidity,cohort study,human_observational,human,,unclear,,,,,metabolite mediation,,,cardiometabolic multimorbidity,"Nonlinear inverse associations of coffee, tea, and caffeine intake with the risk of new-onset CM were observed.",0.95,glm5_nvidia,llm_title_abstract_annotated,Caffeine and moderate coffee intake associated with lowest risk. 80-97 metabolites linked to intake and incident CM.; llm_postprocessed=true; targeted_processing_llm_patch=llm_extracted; patch_confidence=0.95,"Habitual Coffee, Tea, and Caffeine Consumption, Circulating Metabolites, and the Risk of Cardiometabolic Multimorbidity.","CONTEXT: Cardiometabolic multimorbidity (CM) is an increasing public health concern. Previous observational studies have suggested inverse associations between coffee, tea, and caffeine intake and risks of individual cardiometabolic diseases; however, their associations with CM and related biological markers are unknown. METHODS: This prospective study involved 172 315 (for caffeine analysis) and 188 091 (tea and coffee analysis) participants free of any cardiometabolic diseases at baseline from the UK Biobank; 168 metabolites were measured among 88 204 and 96 393 participants. CM was defined as the coexistence of at least 2 of the following conditions: type 2 diabetes, coronary heart disease, and stroke. RESULTS: Nonlinear inverse associations of coffee, tea, and caffeine intake with the risk of new-onset CM were observed. Compared with nonconsumers or consumers of less than 100 mg caffeine per day, consumers of moderate amount of coffee (3 drinks/d) or caffeine (200-300 mg/d) had the lowest risk for new-onset CM, with respective hazard ratios (95% CIs) of 0.519 (0.417-0.647) and 0.593 (0.499-0.704). Multistate models revealed that moderate coffee or caffeine intake was inversely associated with risks of almost all developmental stages of CM, including transitions from a disease-free state to single cardiometabolic diseases and subsequently to CM. A total of 80 to 97 metabolites, such as lipid components within very low-density lipoprotein, histidine, and glycoprotein acetyls, were identified to be associated with both coffee, tea, or caffeine intake and incident CM. CONCLUSION: Habitual coffee or caffeine intake, especially at a moderate level, was associated with a lower risk of new-onset CM and could play important roles in almost all transition phases of CM development. Future studies are warranted to validate the implicated metabolic biomarkers underlying the relation between coffee, tea, and caffeine intake and CM.",The Journal of clinical endocrinology and metabolism,2025,true,unspecified tea,tea infusion,caffeine,,,tea intake; caffeine intake,tea intake; caffeine intake,tea intake; caffeine intake,,missing_processing_or_extraction_context; uncertain_effect_direction,0.463,0.550,0.300,0.698,moderate_uncertainty,,
PMID_39256061_GLM1,PMID_39256061,unspecified tea,unspecified material,multiple component groups,,gut microbiota modulation,functional dyspepsia symptom response,randomized controlled trial,human_interventional,human,,positive,,,,,increased serum butyrate,,butyrate,functional dyspepsia,"Four weeks of JSHT treatment ameliorated FD symptoms and anxiety, potentially linked to increased serum butyrate.",0.85,glm5_nvidia,llm_title_abstract_annotated,llm_postprocessed=true; targeted_processing_llm_patch=llm_extracted; patch_confidence=0.90,"Efficacy of jing Si herbal tea in functional dyspepsia: A double-blind, randomized, placebo-controlled study.","BACKGROUND: Functional dyspepsia (FD) is prevalent worldwide and is associated with gastrointestinal inflammation, mucosal anomalies, and shifts in microbiota metabolites like short chain fatty acids. This study assesses the efficacy of Jing Si herbal tea (JSHT) in alleviating FD symptoms, psychological distress, and influencing metabolites. METHODS: Adults with FD based on Rome IV criteria were included. Participants underwent physical and psychological evaluations, pre-treatment blood sampling, and were randomly assigned to JSHT or placebo groups for four weeks. Post-treatment, evaluations and Liquid Chromatography-Mass Spectrometry for gut metabolites were done. Successful response was defined by a 50% symptom reduction. Symptom intensity, sleep, depression, anxiety, and stress were measured using questionnaires. RESULTS: 26 patients (median age 55.5 years, range 22-77 years, 60.6% female) were studied. Both JSHT and placebo groups were similar at baseline. JSHT showed a higher response rate (69.2%) than placebo (23.1%, P = 0.018). JSHT recipients experienced notable reduction in upper gastrointestinal symptoms and anxiety (P = 0.005; P = 0.037). Increased serum butyrate was observed in improved patients (P = 0.01), whereas no major changes were detected in the placebo group. CONCLUSION: Four weeks of JSHT treatment ameliorated FD symptoms and anxiety, potentially linked to increased serum butyrate. This study suggests that JSHT has potential therapeutic role in patients with FD.",Journal of the Formosan Medical Association = Taiwan yi zhi,2025,true,unspecified tea,unspecified material,multiple component groups,,,Jing Si herbal tea;JSHT,Jing Si herbal tea;JSHT,Jing Si herbal tea;JSHT,,missing_named_microbiota; missing_processing_or_extraction_context,0.388,0.750,0.300,0.625,moderate_uncertainty,,
PMID_39256061_GLM2,PMID_39256061,unspecified tea,unspecified material,multiple component groups,,gut microbiota modulation,anxiety,randomized controlled trial,human_interventional,human,,negative,,,,,,,,anxiety,JSHT recipients experienced notable reduction in upper gastrointestinal symptoms and anxiety (P = 0.037).,0.80,glm5_nvidia,llm_title_abstract_annotated,llm_postprocessed=true; targeted_processing_llm_patch=llm_extracted; patch_confidence=0.90,"Efficacy of jing Si herbal tea in functional dyspepsia: A double-blind, randomized, placebo-controlled study.","BACKGROUND: Functional dyspepsia (FD) is prevalent worldwide and is associated with gastrointestinal inflammation, mucosal anomalies, and shifts in microbiota metabolites like short chain fatty acids. This study assesses the efficacy of Jing Si herbal tea (JSHT) in alleviating FD symptoms, psychological distress, and influencing metabolites. METHODS: Adults with FD based on Rome IV criteria were included. Participants underwent physical and psychological evaluations, pre-treatment blood sampling, and were randomly assigned to JSHT or placebo groups for four weeks. Post-treatment, evaluations and Liquid Chromatography-Mass Spectrometry for gut metabolites were done. Successful response was defined by a 50% symptom reduction. Symptom intensity, sleep, depression, anxiety, and stress were measured using questionnaires. RESULTS: 26 patients (median age 55.5 years, range 22-77 years, 60.6% female) were studied. Both JSHT and placebo groups were similar at baseline. JSHT showed a higher response rate (69.2%) than placebo (23.1%, P = 0.018). JSHT recipients experienced notable reduction in upper gastrointestinal symptoms and anxiety (P = 0.005; P = 0.037). Increased serum butyrate was observed in improved patients (P = 0.01), whereas no major changes were detected in the placebo group. CONCLUSION: Four weeks of JSHT treatment ameliorated FD symptoms and anxiety, potentially linked to increased serum butyrate. This study suggests that JSHT has potential therapeutic role in patients with FD.",Journal of the Formosan Medical Association = Taiwan yi zhi,2025,true,unspecified tea,unspecified material,multiple component groups,,,Jing Si herbal tea; JSHT,Jing Si herbal tea; JSHT,Jing Si herbal tea; JSHT,,generic_mechanism; missing_named_microbiota; missing_processing_or_extraction_context,0.200,0.000,0.300,0.550,high_uncertainty,,
PMID_39256061_GLM3,PMID_39256061,unspecified tea,unspecified material,multiple component groups,,gut microbiota modulation,serum butyrate levels,randomized controlled trial,human_interventional,human,,positive,,,,,,,butyrate,functional dyspepsia,"Increased serum butyrate was observed in improved patients (P = 0.01), whereas no major changes were detected in the placebo group.",0.85,glm5_nvidia,llm_title_abstract_annotated,llm_postprocessed=true; targeted_processing_llm_patch=llm_extracted; patch_confidence=0.90,"Efficacy of jing Si herbal tea in functional dyspepsia: A double-blind, randomized, placebo-controlled study.","BACKGROUND: Functional dyspepsia (FD) is prevalent worldwide and is associated with gastrointestinal inflammation, mucosal anomalies, and shifts in microbiota metabolites like short chain fatty acids. This study assesses the efficacy of Jing Si herbal tea (JSHT) in alleviating FD symptoms, psychological distress, and influencing metabolites. METHODS: Adults with FD based on Rome IV criteria were included. Participants underwent physical and psychological evaluations, pre-treatment blood sampling, and were randomly assigned to JSHT or placebo groups for four weeks. Post-treatment, evaluations and Liquid Chromatography-Mass Spectrometry for gut metabolites were done. Successful response was defined by a 50% symptom reduction. Symptom intensity, sleep, depression, anxiety, and stress were measured using questionnaires. RESULTS: 26 patients (median age 55.5 years, range 22-77 years, 60.6% female) were studied. Both JSHT and placebo groups were similar at baseline. JSHT showed a higher response rate (69.2%) than placebo (23.1%, P = 0.018). JSHT recipients experienced notable reduction in upper gastrointestinal symptoms and anxiety (P = 0.005; P = 0.037). Increased serum butyrate was observed in improved patients (P = 0.01), whereas no major changes were detected in the placebo group. CONCLUSION: Four weeks of JSHT treatment ameliorated FD symptoms and anxiety, potentially linked to increased serum butyrate. This study suggests that JSHT has potential therapeutic role in patients with FD.",Journal of the Formosan Medical Association = Taiwan yi zhi,2025,true,unspecified tea,unspecified material,multiple component groups,,,Jing Si herbal tea; JSHT,Jing Si herbal tea; JSHT,Jing Si herbal tea; JSHT,,generic_mechanism; missing_named_microbiota; missing_processing_or_extraction_context,0.388,0.750,0.300,0.625,moderate_uncertainty,,
PMID_39096274_GLM1,PMID_39096274,unspecified tea,unspecified material,multiple component groups,,cardiovascular protection,incident cardiovascular disease,cohort study,human_observational,human cohort,,unclear,,,,,,,,,"A Mg-rich diet was inversely associated with incident CVD (HRQ5 vs. Q1 = 0.87, 95% CI: 0.77-0.98, Ptrend = 0.02).",0.85,glm5_nvidia,llm_title_abstract_annotated,Tea is a component of the Mg-rich diet score.; llm_postprocessed=true; targeted_processing_llm_patch=llm_extracted; patch_confidence=0.90,Magnesium-rich diet score is inversely associated with incident cardiovascular disease: the Atherosclerosis Risk in Communities (ARIC) study.,"AIMS: Numerous studies have shown inverse associations between serum magnesium (Mg) and risk of cardiovascular disease (CVD), but studies of dietary Mg have not been consistent. To examine the association of a Mg-rich diet score with risks of CVD, coronary heart disease (CHD), and ischaemic stroke in the Atherosclerosis Risk in Communities (ARIC) study. METHODS AND RESULTS: There were 15 022 Black and White adults without prevalent CVD at baseline (1987-89) included in this analysis. Diet was assessed at two visits 6 years apart using an interviewer-administered 66-item food frequency questionnaire. A Mg-rich diet score was created that included servings of whole grain products, nuts, vegetables, fruit, legumes, coffee, and tea. Cox proportional hazard regression evaluated associations of incident CVD, CHD, and stroke across quintiles of Mg-rich diet score, adjusting for demographics, lifestyle factors, and clinical characteristics. Over >30 years of follow-up, there were 3531 incident CVD events (2562 CHD, 1332 ischaemic stroke). Participants who consumed more Mg-rich foods were older, female, White, had lower blood pressure, fewer were not current smokers, and more reported being physically active. A Mg-rich diet was inversely associated with incident CVD (HRQ5 vs. Q1 = 0.87, 95% CI: 0.77-0.98, Ptrend = 0.02) and CHD (HRQ5 vs. Q1 = 0.82, 95% CI: 0.71-0.95, Ptrend = 0.01); however, the diet-stroke association was null (HRQ5 vs. Q1 = 1.00, 95% CI: 0.82-1.22, Ptrend = 0.97). CONCLUSION: Consuming a diet including Mg-rich foods, such as whole grains, nuts, vegetables, fruits, legumes, coffee, and tea, is associated with lower risk of CVD and CHD, but not ischaemic stroke.",European journal of preventive cardiology,2025,true,unspecified tea,unspecified material,multiple component groups,,,tea;Mg-rich diet score,tea;Mg-rich diet score,tea;Mg-rich diet score,,generic_mechanism; missing_processing_or_extraction_context; uncertain_effect_direction,0.200,0.000,0.300,0.578,high_uncertainty,,
PMID_39096025_GLM2,PMID_39096025,black tea,purified component,theaflavins,,other,metabolite degradation,systematic review,evidence_synthesis_nonquantitative,gastrointestinal_tract,,unclear,,,,,enzymatic and microbial degradation,,gallic acid,,"When pass through the gastrointestinal tract, TFDG, TF2A and TF2B are gradually degraded to TF1, and release gallic acid. Then, the theaflavins skeleton are degraded into small molecular phenolic substances under the action of enzymes and microorganisms.",0.90,glm5_nvidia,llm_title_abstract_annotated,llm_postprocessed=true,"Advances in metabolism pathways of theaflavins: digestion, absorption, distribution and degradation.","Theaflavins, a major kind of component in black tea, have been reported to show a variety of biological activities and health effects. However, the unstable chemical properties, low bioavailability and unclear metabolism pathways of theaflavins have left much to be desired in terms of its specific efficacy and applications. This paper provides a comprehensive knowledge on the digestion, absorption, metabolism, distribution and excretion of theaflavins. We find that pH-dependent stability, efflux transport proteins are closely related to the low absorption rate and low bioavailability of theaflavins. When pass through the gastrointestinal tract, TFDG, TF2A and TF2B are gradually degraded to TF1, and release gallic acid. Then, the theaflavins skeleton are degraded into small molecular phenolic substances under the action of enzymes and microorganisms. In addition, theaflavins are widely distributed in the human body including brain, lung, heart, kidney, liver, blood tissue in a low content and can be excreted through feces. However, the influence of digestive enzymes barrier and gut microbial barrier on theaflavins are still unclear. Importantly, most findings are reported by in vitro methods and animal experiments, the metabolites and metabolic pathways of theaflavins in human body are not fully understood and need to be further investigated. We hope to lay a theoretical basis for exploring methods to improve the bioavailability of theaflavins and expanding the application of theaflavins in health foods as well as pharmaceuticals.",Critical reviews in food science and nutrition,2025,true,black tea,purified component,theaflavins,enzymatic treatment,,theaflavins; phenolic,enzymatic,,,review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction,0.762,0.750,0.800,0.846,moderate_uncertainty,enzymatic treatment,
PMID_39092514_GLM1,PMID_39092514,unspecified tea,purified component,mixed polyphenols,polyphenols,gut microbiota modulation,gut microbiota modulation,systematic review,evidence_synthesis_nonquantitative,review synthesis,,unclear,,,,,interaction with cellular pathways and gut microbiota,,,chronic disease prevention,"These bioactive compounds interact with cellular pathways and gut microbiota, highlighting their multifaceted mechanisms.",0.70,glm5_nvidia,llm_title_abstract_annotated,llm_postprocessed=true; targeted_processing_llm_patch=llm_extracted; patch_confidence=0.90,Polyphenols: potent protectors against chronic diseases.,"Polyphenols, abundant in plant-based foods like fruits, vegetables, tea, coffee, wine, and chocolate, offer significant health benefits. Known for their potent antioxidant properties, they combat oxidative stress by neutralising free radicals, crucial in preventing chronic noncommunicable diseases (NCDs) such as cancer, cardiovascular issues, obesity, and diabetes. Polyphenols also exhibit anti-inflammatory effects, modulating gene expression and reducing inflammation associated with NCDs. Their anticancer activities involve inhibiting cancer cell growth and promoting apoptosis through various pathways. They enhance cardiovascular health by improving endothelial function, lowering blood pressure, and inhibiting atherosclerosis. Additionally, polyphenols improve metabolic health by enhancing insulin sensitivity and regulating glucose metabolism, aiding in diabetes and obesity management. These bioactive compounds interact with cellular pathways and gut microbiota, highlighting their multifaceted mechanisms. Integrating polyphenol-rich foods into diets could significantly improve health outcomes and alleviate NCD burdens, advocating for their inclusion in public health strategies and further research to optimise their potential.",Natural product research,2025,true,unspecified tea,purified component,mixed polyphenols,,,polyphenols; plant-based foods; tea,polyphenols; plant-based foods; tea,polyphenols; plant-based foods; tea,,low_llm_confidence; missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record; uncertain_effect_direction,0.537,0.850,0.300,0.579,high_uncertainty,,
PMID_39092514_GLM2,PMID_39092514,unspecified tea,purified component,mixed polyphenols,polyphenols,other,oxidative stress reduction,systematic review,evidence_synthesis_nonquantitative,review synthesis,,negative,,,,,neutralising free radicals,,,chronic noncommunicable diseases,"Known for their potent antioxidant properties, they combat oxidative stress by neutralising free radicals, crucial in preventing chronic noncommunicable diseases",0.80,glm5_nvidia,llm_title_abstract_annotated,llm_postprocessed=true; targeted_processing_llm_patch=llm_extracted; patch_confidence=0.90,Polyphenols: potent protectors against chronic diseases.,"Polyphenols, abundant in plant-based foods like fruits, vegetables, tea, coffee, wine, and chocolate, offer significant health benefits. Known for their potent antioxidant properties, they combat oxidative stress by neutralising free radicals, crucial in preventing chronic noncommunicable diseases (NCDs) such as cancer, cardiovascular issues, obesity, and diabetes. Polyphenols also exhibit anti-inflammatory effects, modulating gene expression and reducing inflammation associated with NCDs. Their anticancer activities involve inhibiting cancer cell growth and promoting apoptosis through various pathways. They enhance cardiovascular health by improving endothelial function, lowering blood pressure, and inhibiting atherosclerosis. Additionally, polyphenols improve metabolic health by enhancing insulin sensitivity and regulating glucose metabolism, aiding in diabetes and obesity management. These bioactive compounds interact with cellular pathways and gut microbiota, highlighting their multifaceted mechanisms. Integrating polyphenol-rich foods into diets could significantly improve health outcomes and alleviate NCD burdens, advocating for their inclusion in public health strategies and further research to optimise their potential.",Natural product research,2025,true,unspecified tea,purified component,mixed polyphenols,,,Polyphenols; tea,Polyphenols; tea,Polyphenols; tea,,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed,0.463,0.550,0.300,0.616,moderate_uncertainty,,
PMID_38764154_GLM1,PMID_38764154,green tea,tea infusion,multiple component groups,,antioxidant,Total Antioxidant Capacity (TAC),randomized controlled trial,human_interventional,human,,positive,,,,,,,,gingivitis,There was a significant difference between mean TAC before and after matcha tea consumption only.,0.90,glm5_nvidia,llm_title_abstract_annotated,Significant increase for matcha arm only; non-significant changes for green tea.; Reported as non-significant reduction.; llm_postprocessed=true; targeted_processing_llm_patch=llm_extracted; patch_confidence=0.95,"Salivary levels of catalase, total antioxidant capacity and interleukin-1β and oral health-related quality of life after matcha and green tea consumption for patients with gingivitis: A randomized clinical trial.","OBJECTIVES: To evaluate the changes in salivary levels of catalase (CAT), total antioxidant capacity (TAC) and IL-1β (primary outcomes) as well as gingival health and oral health-related quality of life (OHRQOL) 1 month after the consumption of matcha and green tea in adult patients with gingivitis. METHODS: This study was a parallel randomized clinical trial. Forty gingivitis adult patients were randomly assigned to drink either matcha or green tea cup twice daily for a duration of 1 month. They were asked to keep their habitual oral hygiene measures. Plaque index (PI) and bleeding on probing (BOP) were recorded. In addition, saliva was collected at baseline and 1 month after tea consumption. Salivary levels of CAT, TAC and IL-1β were determined by ELISA. Each participant was asked to fill OHIP-14 questionnaire before and after tea consumption. RESULTS: Following tea intake, 40.6% of the study sample had healthy gingiva. Both groups similarly showed reductions in PI (0.32 ± 0.11-0.22 ± 0.08) and BOP (0.24 ± 0.08-0.13 ± 0.07) scores after tea consumption. There was a significant difference between mean TAC before and after matcha tea consumption only. Non-significant reductions in salivary levels of CAT and IL-1β were detected after tea consumption. OHRQOL of participants was improved after tea, both types, consumption. CONCLUSION: Despite study limitations, daily consumption of matcha and green tea might be beneficial as they potentially enhance OHRQOL of individuals with gingivitis and reduce the extent of gingivitis despite non-significant changes in salivary antioxidants and IL-1β levels.",International journal of dental hygiene,2025,true,green tea,tea infusion,multiple component groups,,,matcha;green tea;consumption;drink,matcha;green tea;consumption;drink,matcha;green tea;consumption;drink,,generic_mechanism; missing_processing_or_extraction_context,0.388,0.000,0.550,0.702,moderate_uncertainty,,
PMID_38764154_GLM3,PMID_38764154,green tea,tea infusion,multiple component groups,,anti-inflammatory,Interleukin-1β (IL-1β),randomized controlled trial,human_interventional,human,,unclear,,,,,,,,gingivitis,Non-significant reductions in salivary levels of CAT and IL-1β were detected after tea consumption.,0.85,glm5_nvidia,llm_title_abstract_annotated,Reported as non-significant reduction.; llm_postprocessed=true; targeted_processing_llm_patch=llm_extracted; patch_confidence=0.95,"Salivary levels of catalase, total antioxidant capacity and interleukin-1β and oral health-related quality of life after matcha and green tea consumption for patients with gingivitis: A randomized clinical trial.","OBJECTIVES: To evaluate the changes in salivary levels of catalase (CAT), total antioxidant capacity (TAC) and IL-1β (primary outcomes) as well as gingival health and oral health-related quality of life (OHRQOL) 1 month after the consumption of matcha and green tea in adult patients with gingivitis. METHODS: This study was a parallel randomized clinical trial. Forty gingivitis adult patients were randomly assigned to drink either matcha or green tea cup twice daily for a duration of 1 month. They were asked to keep their habitual oral hygiene measures. Plaque index (PI) and bleeding on probing (BOP) were recorded. In addition, saliva was collected at baseline and 1 month after tea consumption. Salivary levels of CAT, TAC and IL-1β were determined by ELISA. Each participant was asked to fill OHIP-14 questionnaire before and after tea consumption. RESULTS: Following tea intake, 40.6% of the study sample had healthy gingiva. Both groups similarly showed reductions in PI (0.32 ± 0.11-0.22 ± 0.08) and BOP (0.24 ± 0.08-0.13 ± 0.07) scores after tea consumption. There was a significant difference between mean TAC before and after matcha tea consumption only. Non-significant reductions in salivary levels of CAT and IL-1β were detected after tea consumption. OHRQOL of participants was improved after tea, both types, consumption. CONCLUSION: Despite study limitations, daily consumption of matcha and green tea might be beneficial as they potentially enhance OHRQOL of individuals with gingivitis and reduce the extent of gingivitis despite non-significant changes in salivary antioxidants and IL-1β levels.",International journal of dental hygiene,2025,true,green tea,tea infusion,multiple component groups,powder/matcha processing,,matcha and green tea consumption;drink either matcha or green tea,matcha and green tea consumption;drink either matcha or green tea,matcha and green tea consumption;drink either matcha or green tea,,generic_mechanism; uncertain_effect_direction,0.450,0.000,0.800,0.740,moderate_uncertainty,matcha production,
